Fecha,NivelEmbalse
2022-01-01,10247978000.0
2022-01-02,10284766000.0
2022-01-03,10302145000.0
2022-01-04,10310736000.0
2022-01-05,10326569000.0
2022-01-06,10285077000.0
2022-01-07,10235851000.0
2022-01-08,10207634000.0
2022-01-09,10151417000.0
2022-01-10,10119039000.0
2022-01-11,10025032000.0
2022-01-12,9977295000.0
2022-01-13,9928467000.0
2022-01-14,9871516000.0
2022-01-15,9851151300.0
2022-01-16,9848348000.0
2022-01-17,9832658000.0
2022-01-18,9731307000.0
2022-01-19,9638784000.0
2022-01-20,9521692000.0
2022-01-21,9443140000.0
2022-01-22,9320875000.0
2022-01-23,9223347000.0
2022-01-24,9192832000.0
2022-01-25,9178810000.0
2022-01-26,9127136000.0
2022-01-27,9079267000.0
2022-01-28,9006272000.0
2022-01-29,8929505000.0
2022-01-30,8847794000.0
2022-01-31,8778015000.0
2022-02-01,8730523000.0
2022-02-02,8652243000.0
2022-02-03,8553310000.0
2022-02-04,8492721000.0
2022-02-05,8401969000.0
2022-02-06,8325901000.0
2022-02-07,8244379000.0
2022-02-08,8202007000.0
2022-02-09,8192256000.0
2022-02-10,8191162000.0
2022-02-11,8217404000.0
2022-02-12,8147460000.0
2022-02-13,8092730000.0
2022-02-14,8021359000.0
2022-02-15,7970782000.0
2022-02-16,7901261000.0
2022-02-17,7859923000.0
2022-02-18,7836058000.0
2022-02-19,7739217000.0
2022-02-20,7706722000.0
2022-02-21,7633411000.0
2022-02-22,7698657000.0
2022-02-23,7666854000.0
2022-02-24,7618566000.0
2022-02-25,7527313000.0
2022-02-26,7510831000.0
2022-02-27,7506734000.0
2022-02-28,7521288000.0
2022-03-01,7623257000.0
2022-03-02,7778606000.0
2022-03-03,7842871000.0
2022-03-04,7904599000.0
2022-03-05,8021266000.0
2022-03-06,8068313000.0
2022-03-07,8114241000.0
2022-03-08,8287919000.0
2022-03-09,8421217000.0
2022-03-10,8426822000.0
2022-03-11,8369997000.0
2022-03-12,8318750000.0
2022-03-13,8299261000.0
2022-03-14,8252538000.0
2022-03-15,8222849000.0
2022-03-16,8169478000.0
2022-03-17,8149876000.0
2022-03-18,8090737000.0
2022-03-19,8038936000.0
2022-03-20,7967108000.0
2022-03-21,7901257000.0
2022-03-22,7851990000.0
2022-03-23,7809881000.0
2022-03-24,7795382000.0
2022-03-25,7748900000.0
2022-03-26,7736502000.0
2022-03-27,7686146000.0
2022-03-28,7661641000.0
2022-03-29,7718585000.0
2022-03-30,7767859000.0
2022-03-31,7802671000.0
2022-04-01,7807270000.0
2022-04-02,7887585000.0
2022-04-03,7934147000.0
2022-04-04,8004058000.0
2022-04-05,8039249000.0
2022-04-06,8062262000.0
2022-04-07,8066754000.0
2022-04-08,8051968000.0
2022-04-09,8113634000.0
2022-04-10,8132275000.0
2022-04-11,8178837000.0
2022-04-12,8191107000.0
2022-04-13,8156158000.0
2022-04-14,8158778000.0
2022-04-15,8113604000.0
2022-04-16,8068017000.0
2022-04-17,8047504000.0
2022-04-18,8006183000.0
2022-04-19,8038542000.0
2022-04-20,8093113000.0
2022-04-21,8194386000.0
2022-04-22,8300791000.0
2022-04-23,8452835000.0
2022-04-24,8591763000.0
2022-04-25,8641018000.0
2022-04-26,8712492000.0
2022-04-27,8851958000.0
2022-04-28,8873437000.0
2022-04-29,8919231000.0
2022-04-30,8997637000.0
2022-05-01,9079293000.0
2022-05-02,9072642000.0
2022-05-03,9079999000.0
2022-05-04,9050761000.0
2022-05-05,9009861000.0
2022-05-06,8921636000.0
2022-05-07,8911869000.0
2022-05-08,8907713000.0
2022-05-09,9041355000.0
2022-05-10,9106027000.0
2022-05-11,9121910000.0
2022-05-12,9147938000.0
2022-05-13,9214293000.0
2022-05-14,9268873000.0
2022-05-15,9348430000.0
2022-05-16,9467605000.0
2022-05-17,9547061000.0
2022-05-18,9627060000.0
2022-05-19,9762616000.0
2022-05-20,9876795000.0
2022-05-21,9977212000.0
2022-05-22,10105010000.0
2022-05-23,10171622000.0
2022-05-24,10133702000.0
2022-05-25,10121318000.0
2022-05-26,10107783000.0
2022-05-27,10118929000.0
2022-05-28,10119612000.0
2022-05-29,10173553000.0
2022-05-30,10203357000.0
2022-05-31,10219859000.0
2022-06-01,10286592000.0
2022-06-02,10306520000.0
2022-06-03,10342071000.0
2022-06-04,10373514000.0
2022-06-05,10414991000.0
2022-06-06,10480162000.0
2022-06-07,10528736000.0
2022-06-08,10579285000.0
2022-06-09,10586971000.0
2022-06-10,10564868000.0
2022-06-11,10593872000.0
2022-06-12,10596946000.0
2022-06-13,10729009000.0
2022-06-14,10776092000.0
2022-06-15,10816117000.0
2022-06-16,10896397000.0
2022-06-17,10959374000.0
2022-06-18,10983994000.0
2022-06-19,10979203000.0
2022-06-20,10976327000.0
2022-06-21,11067329000.0
2022-06-22,11092432000.0
2022-06-23,11035096000.0
2022-06-24,11033244000.0
2022-06-25,11019580000.0
2022-06-26,11013877000.0
2022-06-27,11110029000.0
2022-06-28,11263273000.0
2022-06-29,13868632373.0
2022-06-30,11355076000.0
2022-07-01,11386161000.0
2022-07-02,11407603000.0
2022-07-03,11379127000.0
2022-07-04,11389445000.0
2022-07-05,11386809000.0
2022-07-06,11549111000.0
2022-07-07,11639964000.0
2022-07-08,11693406000.0
2022-07-09,11707688000.0
2022-07-10,11697036000.0
2022-07-11,11678840000.0
2022-07-12,11668067000.0
2022-07-13,11686053000.0
2022-07-14,11675390000.0
2022-07-15,11700914000.0
2022-07-16,11702067000.0
2022-07-17,11655336000.0
2022-07-18,11597131000.0
2022-07-19,11601886000.0
2022-07-20,11595896000.0
2022-07-21,11563409000.0
2022-07-22,11550395000.0
2022-07-23,11528907000.0
2022-07-24,11485995000.0
2022-07-25,11487319000.0
2022-07-26,11504491000.0
2022-07-27,11582450000.0
2022-07-28,11664131000.0
2022-07-29,11787498000.0
2022-07-30,11921343000.0
2022-07-31,11989018000.0
2022-08-01,11942545000.0
2022-08-02,11896803000.0
2022-08-03,11862188000.0
2022-08-04,11860492000.0
2022-08-05,11815041000.0
2022-08-06,11771983000.0
2022-08-07,11727593000.0
2022-08-08,11805146000.0
2022-08-09,11784037000.0
2022-08-10,11742556000.0
2022-08-11,11713209000.0
2022-08-12,11693716000.0
2022-08-13,11711002000.0
2022-08-14,11661490000.0
2022-08-15,11607103000.0
2022-08-16,11632905000.0
2022-08-17,11770562000.0
2022-08-18,11776226000.0
2022-08-19,11708700000.0
2022-08-20,11641907000.0
2022-08-21,11555395000.0
2022-08-22,11523153000.0
2022-08-23,11539421000.0
2022-08-24,11490593000.0
2022-08-25,11423398000.0
2022-08-26,11360839000.0
2022-08-27,11330732000.0
2022-08-28,11247522000.0
2022-08-29,11153086000.0
2022-08-30,11080674000.0
2022-08-31,11068404000.0
2022-09-01,11012991000.0
2022-09-02,11008850000.0
2022-09-03,10970115000.0
2022-09-04,10951973000.0
2022-09-05,10989868000.0
2022-09-06,11007027000.0
2022-09-07,10926829000.0
2022-09-08,10912842000.0
2022-09-09,10859868000.0
2022-09-10,10828423000.0
2022-09-11,10786830000.0
2022-09-12,10759430000.0
2022-09-13,10809695000.0
2022-09-14,10809288000.0
2022-09-15,10831902000.0
2022-09-16,10845588000.0
2022-09-17,10799249000.0
2022-09-18,10843142000.0
2022-09-19,10850151000.0
2022-09-20,10875630000.0
2022-09-21,11257652000.0
2022-09-22,10830705000.0
2022-09-23,10809968000.0
2022-09-24,10775637000.0
2022-09-25,10782205000.0
2022-09-26,10792522000.0
2022-09-27,10830251000.0
2022-09-28,10784477000.0
2022-09-29,10682123000.0
2022-09-30,10580813000.0
2022-10-01,10559646000.0
2022-10-02,10542335000.0
2022-10-03,10627361000.0
2022-10-04,10646331000.0
2022-10-05,10598298000.0
2022-10-06,10598980000.0
2022-10-07,10596546000.0
2022-10-08,10603768000.0
2022-10-09,10657967000.0
2022-10-10,10756102000.0
2022-10-11,10819991000.0
2022-10-12,10873270000.0
2022-10-13,10838764000.0
2022-10-14,10790325000.0
2022-10-15,10758680000.0
2022-10-16,10763193000.0
2022-10-17,10792145000.0
2022-10-18,10869594000.0
2022-10-19,10934562000.0
2022-10-20,11022270000.0
2022-10-21,11117404000.0
2022-10-22,11263701000.0
2022-10-23,11301537000.0
2022-10-24,11384729000.0
2022-10-25,11528235000.0
2022-10-26,11627151000.0
2022-10-27,11663749000.0
2022-10-28,11678293000.0
2022-10-29,11705323000.0
2022-10-30,11761488000.0
2022-10-31,11828150000.0
2022-11-01,11793834000.0
2022-11-02,11714934000.0
2022-11-03,11627340000.0
2022-11-04,11603499000.0
2022-11-05,11611488000.0
2022-11-06,11601002000.0
2022-11-07,11611923000.0
2022-11-08,11625886000.0
2022-11-09,11624379000.0
2022-11-10,11719080000.0
2022-11-11,11784203000.0
2022-11-12,11905405000.0
2022-11-13,11919395000.0
2022-11-14,11963066000.0
2022-11-15,12017255000.0
2022-11-16,12041844000.0
2022-11-17,12051541000.0
2022-11-18,12008315000.0
2022-11-19,11932452000.0
2022-11-20,11909723000.0
2022-11-21,11883837000.0
2022-11-22,11907464000.0
2022-11-23,11880459000.0
2022-11-24,11864315000.0
2022-11-25,11857549000.0
2022-11-26,11838546000.0
2022-11-27,11824389000.0
2022-11-28,11857518000.0
2022-11-29,11907885000.0
2022-11-30,11981172000.0
2022-12-01,12640246000.0
2022-12-02,12677135000.0
2022-12-03,12595959000.0
2022-12-04,12507514000.0
2022-12-05,12456687000.0
2022-12-06,12481031000.0
2022-12-07,15531543290.5
2022-12-08,15507357269.900002
2022-12-09,15490970796.5
2022-12-10,15502647081.5
2022-12-11,15465464043.6
2022-12-12,15423000808.0
2022-12-13,15408324117.2
2022-12-14,15388123268.699999
2022-12-15,15355796121.8
2022-12-16,15323953392.9
2022-12-17,15291981948.3
2022-12-18,15250570350.800001
2022-12-19,15229360737.7
2022-12-20,15124537628.8
2022-12-21,15034245169.8
2022-12-22,14982422452.3
2022-12-23,14898369169.6
2022-12-24,14853919356.8
2022-12-25,12047498000.0
2022-12-26,12008441000.0
2022-12-27,12007577000.0
2022-12-28,14624306494.6
2022-12-29,14584307501.5
2022-12-30,14529442591.3
2022-12-31,14457775361.57
2023-01-01,14401277753.0
2023-01-02,14380934420.4
2023-01-03,14374445631.199999
2023-01-04,14342133769.7
2023-01-05,14311372462.5
2023-01-06,14259484285.4
2023-01-07,14204531458.1
2023-01-08,14169821458.5
2023-01-09,14184971630.5
2023-01-10,14211719408.8
2023-01-11,14207582095.6
2023-01-12,14231229793.0
2023-01-13,14270684635.800001
2023-01-14,14304690199.699999
2023-01-15,14297674025.7
2023-01-16,14286776928.2
2023-01-17,14272344855.9
2023-01-18,14223111469.099998
2023-01-19,14158375566.8
2023-01-20,14128657303.1
2023-01-21,14073672702.7
2023-01-22,14006692607.1
2023-01-23,13938472972.9
2023-01-24,13888634346.9
2023-01-25,13795805369.9
2023-01-26,13694273414.7
2023-01-27,13585066098.6
2023-01-28,13473577067.1
2023-01-29,13371035386.5
2023-01-30,13264975395.3
2023-01-31,13190136105.9
2023-02-01,13085013146.0
2023-02-02,13007148887.300001
2023-02-03,12938565537.7
2023-02-04,12807240560.6
2023-02-05,12729060192.6
2023-02-06,12670397552.800001
2023-02-07,12612159654.0
2023-02-08,12507846602.5
2023-02-09,12422029826.7
2023-02-10,12338314478.6
2023-02-11,12249124706.800001
2023-02-12,12146654478.3
2023-02-13,12069988377.3
2023-02-14,12005990349.0
2023-02-15,11955780466.4
2023-02-16,11874274278.2
2023-02-17,11861054321.8
2023-02-18,11796389176.7
2023-02-19,11722856898.5
2023-02-20,11650125270.4
2023-02-21,11614554078.4
2023-02-22,11561767115.7
2023-02-23,11500549392.2
2023-02-24,11416860935.32
2023-02-25,11323290600.4
2023-02-26,11218853963.800001
2023-02-27,11117283307.699999
2023-02-28,11025759416.6
2023-03-01,10916377119.3
2023-03-02,10824391622.4
2023-03-03,10726856957.5
2023-03-04,10625246923.5
2023-03-05,10527684328.3
2023-03-06,10495994335.8
2023-03-07,10547303064.3
2023-03-08,10559457564.2
2023-03-09,10527094806.4
2023-03-10,10543749899.8
2023-03-11,10627630817.1
2023-03-12,10615462618.8
2023-03-13,10802607853.1
2023-03-14,10954958455.6
2023-03-15,11085816008.9
2023-03-16,11123113661.0
2023-03-17,11153634004.8
2023-03-18,11181429619.6
2023-03-19,11212081346.2
2023-03-20,11236729827.3
2023-03-21,11255928233.9
2023-03-22,11244030779.2
2023-03-23,11192309249.1
2023-03-24,11126540735.3
2023-03-25,11091312145.2
2023-03-26,11073271949.0
2023-03-27,11076483172.3
2023-03-28,11085322171.2
2023-03-29,11065403733.9
2023-03-30,11036236957.4
2023-03-31,10992270654.0
2023-04-01,10940189971.7
2023-04-02,10810153729.1
2023-04-03,10881872026.1
2023-04-04,10946880240.1
2023-04-05,10932067958.6
2023-04-06,10889230089.3
2023-04-07,10836849624.3
2023-04-08,10851341710.1
2023-04-09,10891102677.699999
2023-04-10,10911860758.3
2023-04-11,10899328898.1
2023-04-12,10847558091.5
2023-04-13,10812418325.2
2023-04-14,10774137685.6
2023-04-15,10720587172.4
2023-04-16,10647228583.300001
2023-04-17,10584238513.8
2023-04-18,10615247858.6
2023-04-19,10700981911.7
2023-04-20,10778173731.5
2023-04-21,10758260526.9
2023-04-22,10743276019.800001
2023-04-23,10747317075.9
2023-04-24,10780592531.0
2023-04-25,10834814662.5
2023-04-26,10874268280.2
2023-04-27,10898173132.9
2023-04-28,10961170067.2
2023-04-29,10980244760.5
2023-04-30,11118858726.9
2023-05-01,11188797222.6
2023-05-02,11318139249.7
2023-05-03,11341718767.9
2023-05-04,11306836499.3
2023-05-05,11237833231.3
2023-05-06,11172138625.1
2023-05-07,11086369981.3
2023-05-08,11010087637.0
2023-05-09,10961384615.9
2023-05-10,10888724900.8
2023-05-11,10824701233.800001
2023-05-12,10779410899.2
2023-05-13,10742721889.1
2023-05-14,10699839664.3
2023-05-15,10661392411.0
2023-05-16,10660283909.9
2023-05-17,10647255133.4
2023-05-18,10621777204.9
2023-05-19,10667116843.5
2023-05-20,10625445055.5
2023-05-21,10604484740.4
2023-05-22,10635736154.9
2023-05-23,10683536041.1
2023-05-24,10755967670.1
2023-05-25,10898637826.4
2023-05-26,10993144569.3
2023-05-27,11149766410.2
2023-05-28,11339520962.6
2023-05-29,11454478879.6
2023-05-30,11631494130.7
2023-05-31,11760918298.6
2023-06-01,11885088471.699999
2023-06-02,11931916899.699999
2023-06-03,12133684985.5
2023-06-04,12196404323.2
2023-06-05,12192102310.4
2023-06-06,12135561625.6
2023-06-07,12243383682.9
2023-06-08,12337887090.1
2023-06-09,12362246905.9
2023-06-10,12481627179.6
2023-06-11,12547341715.1
2023-06-12,12582072407.5
2023-06-13,12689087736.4
2023-06-14,12697606495.6
2023-06-15,12660159090.2
2023-06-16,12641700177.4
2023-06-17,12660406411.099998
2023-06-18,12701833039.4
2023-06-19,12753442093.6
2023-06-20,12815315129.1
2023-06-21,12815607555.3
2023-06-22,12800616485.3
2023-06-23,12773201929.4
2023-06-24,12769646853.8
2023-06-25,12791815369.9
2023-06-26,12863158444.4
2023-06-27,12972852996.9
2023-06-28,13116074025.1
2023-06-29,13135941496.7
2023-06-30,13132322488.1
2023-07-01,13126770742.0
2023-07-02,13123953606.0
2023-07-03,13117046538.0
2023-07-04,13222958614.0
2023-07-05,13279817548.0
2023-07-06,13322292192.0
2023-07-07,13340531988.0
2023-07-08,13396845846.0
2023-07-09,13484663702.0
2023-07-10,13553210942.0
2023-07-11,13605865620.0
2023-07-12,13691257944.0
2023-07-13,13703356992.0
2023-07-14,13707908122.0
2023-07-15,13713881716.0
2023-07-16,13850693362.0
2023-07-17,13918512902.0
2023-07-18,14062969654.0
2023-07-19,14288533442.0
2023-07-20,14433342614.0
2023-07-21,14548735896.0
2023-07-22,14587596760.0
2023-07-23,14653397680.0
2023-07-24,14700359676.0
2023-07-25,14712868678.0
2023-07-26,14743859572.0
2023-07-27,14734690392.0
2023-07-28,14735582984.0
2023-07-29,14741133656.0
2023-07-30,14737136960.0
2023-07-31,14746075444.0
2023-08-01,14761202016.199999
2023-08-02,14756144558.2
2023-08-03,14791561520.0
2023-08-04,14813003758.1
2023-08-05,14806814746.599998
2023-08-06,14773404070.199999
2023-08-07,14797681303.5
2023-08-08,14809134226.199999
2023-08-09,14826855648.0
2023-08-10,14799231893.7
2023-08-11,14806278468.0
2023-08-12,14777094162.8
2023-08-13,14771052660.7
2023-08-14,14788041455.2
2023-08-15,14832760105.5
2023-08-16,14824832846.7
2023-08-17,14865023053.8
2023-08-18,14873783393.7
2023-08-19,14863792683.8
2023-08-20,14881701047.9
2023-08-21,14849325424.1
2023-08-22,14886304670.9
2023-08-23,14944382902.0
2023-08-24,15143562560.7
2023-08-25,15148453305.199999
2023-08-26,15112272847.0
2023-08-27,15088607581.9
2023-08-28,15053024901.1
2023-08-29,15003435816.6
2023-08-30,14919485498.5
2023-08-31,14853633555.2
2023-09-01,14761151121.5
2023-09-02,14685215768.5
2023-09-03,14606599366.6
2023-09-04,14559300104.5
2023-09-05,14518450232.9
2023-09-06,14539045847.3
2023-09-07,14484043392.1
2023-09-08,14413858432.8
2023-09-09,14331641653.2
2023-09-10,14248282824.6
2023-09-11,14201020283.1
2023-09-12,14229098367.1
2023-09-13,13695123912.4
2023-09-14,13738511246.9
2023-09-15,13707338019.4
2023-09-16,13700335409.3
2023-09-17,13668805199.5
2023-09-18,13629038962.0
2023-09-19,13652333327.6
2023-09-20,13605124605.699999
2023-09-21,13538957235.9
2023-09-22,13483318435.0
2023-09-23,13419089325.4
2023-09-24,13344391725.800001
2023-09-25,13302711245.0
2023-09-26,13312810115.1
2023-09-27,13246430818.6
2023-09-28,13196391986.0
2023-09-29,13121042762.7
2023-09-30,13059843090.6
2023-10-01,13003772486.8
2023-10-02,12940306002.5
2023-10-03,12959464553.8
2023-10-04,12920862772.5
2023-10-05,12873364248.3
2023-10-06,12859894572.0
2023-10-07,12830923936.0
2023-10-08,12810668102.0
2023-10-09,12832827812.1
2023-10-10,12892561705.0
2023-10-11,12861337420.0
2023-10-12,12853487463.0
2023-10-13,12837233305.699999
2023-10-14,12791337352.7
2023-10-15,12741477836.5
2023-10-16,12737278691.9
2023-10-17,12733033162.2
2023-10-18,12720626296.699999
2023-10-19,12694251097.7
2023-10-20,12649582399.800001
2023-10-21,12596741038.7
2023-10-22,12537958089.3
2023-10-23,12507047147.300001
2023-10-24,12496181233.9
2023-10-25,12493225137.9
2023-10-26,12539863496.8
2023-10-27,12547082665.0
2023-10-28,12604418306.800001
2023-10-29,12650175525.9
2023-10-30,12656000772.0
2023-10-31,12694678181.4
2023-11-01,12728387572.800001
2023-11-02,12785491307.300001
2023-11-03,12629782173.4
2023-11-04,12754116277.8
2023-11-05,12845864459.5
2023-11-06,12941279079.4
2023-11-07,12976720003.9
2023-11-08,13012952595.0
2023-11-09,13037656727.0
2023-11-10,13003992620.5
2023-11-11,12969976608.4
2023-11-12,12976558707.4
2023-11-13,12978134518.0
2023-11-14,13030806120.6
2023-11-15,13033064368.0
2023-11-16,13037049955.1
2023-11-17,13117905636.1
2023-11-18,13106071983.6
2023-11-19,13111138406.8
2023-11-20,13184579360.199999
2023-11-21,13266186055.3
2023-11-22,13309327688.9
2023-11-23,13310546838.5
2023-11-24,13281419398.0
2023-11-25,13229201086.699999
2023-11-26,13194543780.699999
2023-11-27,13192898032.199999
2023-11-28,13169217558.1
2023-11-29,13119043363.6
2023-11-30,13067807903.8
2023-12-01,13024773323.6
2023-12-02,12986549350.6
2023-12-03,12938070790.3
2023-12-04,12905160467.3
2023-12-05,12888215135.7
2023-12-06,12831266421.9
2023-12-07,12775043660.1
2023-12-08,12720767840.2
2023-12-09,12680177246.1
2023-12-10,12665841923.6
2023-12-11,12633485262.5
2023-12-12,12637086128.42
2023-12-13,12658760609.4
2023-12-14,12568616358.6
2023-12-15,12513992650.9
2023-12-16,12445516616.0
2023-12-17,12405577217.199999
2023-12-18,12415048685.6
2023-12-19,12476684828.6
2023-12-20,12460828701.8
2023-12-21,12430431543.8
2023-12-22,12387461579.8
2023-12-23,12350875525.0
2023-12-24,12288008837.0
2023-12-25,12257518686.8
2023-12-26,12241767398.900002
2023-12-27,12244623662.1
2023-12-28,12230314866.8
2023-12-29,12215883730.0
2023-12-30,12237976050.5
2023-12-31,12252859049.3
2024-01-01,12221116870.0
2024-01-02,12185861718.0
2024-01-03,12161117766.0
2024-01-04,12100516210.0
2024-01-05,12036304468.0
2024-01-06,11965340360.0
2024-01-07,11885676824.0
2024-01-08,11826863264.0
2024-01-09,11770815672.0
2024-01-10,11707777476.0
2024-01-11,11628965808.0
2024-01-12,11556674852.0
2024-01-13,11469284142.0
2024-01-14,11397425610.0
2024-01-15,11347837198.0
2024-01-16,11315290928.0
2024-01-17,11244267738.0
